Repeat 1,,,,,
,,"At OD 0.1, relative number of colonies of:",,"At OD 0.5, relative number of colonies of:",
,,Cooperator,Cheater,Cooperator,Cheater
,Cooperator,513,0,508,0
,Cheater Introduced to Culture of Cooperators,512,4,542,7
,Cheater ,0,464,NA,NA
,Cooperator Introduced to Culture of Cheaters,5,584,3,541
,,,,,
Repeat 2,,,,,
,,"At OD 0.1, relative number of colonies of:",,"At OD 0.5, relative number of colonies of:",
,,Cooperator,Cheater,Cooperator,Cheater
,Cooperator,547,0,584,0
,Cheater Introduced to Culture of Cooperators,556,6,589,10
,Cheater ,0,481,NA,NA
,Cooperator Introduced to Culture of Cheaters,5,557,3,543
,,,,,
Repeat 3,,,,,
,,"At OD 0.1, relative number of colonies of:",,"At OD 0.5, relative number of colonies of:",
,,Cooperator,Cheater,Cooperator,Cheater
,Cooperator,536,0,542,0
,Cheater Introduced to Culture of Cooperators,488,5,502,8
,Cheater ,0,565,NA,NA
,Cooperator Introduced to Culture of Cheaters,5,511,3,488
,,,,,
,,,,,
NA: Culture did not reach OD 0.5,,,,,
"At OD 0.1, 5 times the volume was plated as compared to OD 0.5. ",,,,,
