,,,,,Std Deviation,,
Time (hours),BY4741,Sc644,Hybrid @ 7th gen,Hybrid @ 200 gen,Sc644,Hybrid @ generation 7,Hybrid @ generation 200
0,0.053,0.055,0.076,0.071,0.002,0.002,0.001
24,0.076,0.100,0.076,0.071,0.004,0.002,0.001
30,0.084,0.242,0.074,0.070,0.007,0.001,0.001
38,0.082,0.473,0.074,0.070,0.003,0.001,0.001
48,0.082,0.545,0.106,0.090,0.002,0.280,0.044
60,,0.537,0.118,0.100,0.007,0.323,0.003
66,,0.549,0.267,0.122,0.009,0.283,0.010
88,0.077,0.527,0.723,0.798,0.010,0.030,0.044
100,,0.519,0.817,0.798,0.021,0.010,0.044
